2024-06-03 20:58:04,347 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Configure stats pid to 89326
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Loading settings from /Users/dakotachang/.config/wandb/settings
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Loading settings from /Users/dakotachang/wandb_testing/wandb/settings
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'dakota_csk', 'project': 'wandb_testing', 'sweep_id': 'vk28yrqa', 'root_dir': '/Users/dakotachang/wandb_testing', 'run_id': 'yqcf3nja', 'sweep_param_path': '/Users/dakotachang/wandb_testing/wandb/sweep-vk28yrqa/config-yqcf3nja.yaml'}
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/dakotachang/wandb_testing/train.py', 'program': '/Users/dakotachang/wandb_testing/train.py'}
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_init.py:_log_setup():520] Logging user logs to /Users/dakotachang/wandb_testing/wandb/run-20240603_205804-yqcf3nja/logs/debug.log
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/dakotachang/wandb_testing/wandb/run-20240603_205804-yqcf3nja/logs/debug-internal.log
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_init.py:init():560] calling init triggers
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_init.py:init():567] wandb.init called with sweep_config: {'batch_size': 107, 'epsilon_decay': 1.7489372168248472, 'learning_rate': 0.0011253121269551637}
config: {'batch_size': 107, 'epsilon_decay': 1.7489372168248472, 'learning_rate': 0.0011253121269551637}
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_init.py:init():610] starting backend
2024-06-03 20:58:04,348 INFO    MainThread:89326 [wandb_init.py:init():614] setting up manager
2024-06-03 20:58:04,353 INFO    MainThread:89326 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-06-03 20:58:04,355 INFO    MainThread:89326 [wandb_init.py:init():622] backend started and connected
2024-06-03 20:58:04,363 INFO    MainThread:89326 [wandb_run.py:_config_callback():1376] config_cb None None {'batch_size': 107, 'epsilon_decay': 1.7489372168248472, 'learning_rate': 0.0011253121269551637}
2024-06-03 20:58:04,364 INFO    MainThread:89326 [wandb_init.py:init():711] updated telemetry
2024-06-03 20:58:04,384 INFO    MainThread:89326 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-03 20:58:04,591 INFO    MainThread:89326 [wandb_run.py:_on_init():2396] communicating current version
2024-06-03 20:58:04,698 INFO    MainThread:89326 [wandb_run.py:_on_init():2405] got version response 
2024-06-03 20:58:04,698 INFO    MainThread:89326 [wandb_init.py:init():795] starting run threads in backend
2024-06-03 20:58:07,169 INFO    MainThread:89326 [wandb_run.py:_console_start():2374] atexit reg
2024-06-03 20:58:07,169 INFO    MainThread:89326 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-06-03 20:58:07,169 INFO    MainThread:89326 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-06-03 20:58:07,169 INFO    MainThread:89326 [wandb_run.py:_redirect():2319] Redirects installed.
2024-06-03 20:58:07,170 INFO    MainThread:89326 [wandb_init.py:init():838] run started, returning control to user process
2024-06-03 20:58:09,471 INFO    MainThread:89326 [wandb_run.py:_finish():2103] finishing run dakota_csk/wandb_testing/yqcf3nja
2024-06-03 20:58:09,471 INFO    MainThread:89326 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-06-03 20:58:09,471 INFO    MainThread:89326 [wandb_run.py:_restore():2326] restore
2024-06-03 20:58:09,471 INFO    MainThread:89326 [wandb_run.py:_restore():2332] restore done
2024-06-03 20:58:13,427 INFO    MainThread:89326 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-06-03 20:58:13,429 INFO    MainThread:89326 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-06-03 20:58:13,439 INFO    MainThread:89326 [wandb_run.py:_footer_sync_info():3953] logging synced files
